COMM_CODE,NAME,RES_CNT
01B,01B,0
01C,01C,0
01F,01F,0
01H,01H,0
01I,01I,0
01K,01K,0
02B,02B,0
02C,02C,0
02E,02E,0
02F,02F,0
02K,02K,0
02L,02L,0
03D,03D,0
03W,03W,0
05D,05D,0
05E,05E,0
05F,05F,0
05G,05G,0
06A,06A,0
06B,06B,0
06C,06C,0
09D,09D,0
09H,09H,0
09K,09K,0
09O,09O,0
09P,09P,0
09Q,09Q,0
10D,10D,0
10E,10E,0
12A,12A,0
12B,12B,0
12C,12C,0
12I,12I,0
12J,12J,0
12K,12K,0
12L,12L,0
13A,13A,0
13B,13B,0
13C,13C,0
13D,13D,0
13E,13E,0
13F,13F,0
13G,13G,0
13H,13H,0
13I,13I,0
13J,13J,0
13L,13L,0
13M,13M,0
ABB,ABBEYDALE,5957
ABP,AURORA BUSINESS PARK,0
ACA,ACADIA,10520
ALB,ALBERT PARK/RADISSON HEIGHTS,6997
ALT,ALTADORE,6942
APP,APPLEWOOD PARK,6981
ARB,ARBOUR LAKE,10619
ASP,ASPEN WOODS,9446
AUB,AUBURN BAY,17607
AYB,ALYTH/BONNYBROOK,0
BDO,BONAVISTA DOWNS,928
BED,BEDDINGTON HEIGHTS,11514
BEL,BEL-AIRE,390
BLM,BELMONT,86
BLN,BELTLINE,25129
BNF,BANFF TRAIL,4153
BNK,BANKVIEW,5256
BOW,BOWNESS,11150
BRA,BRAESIDE,5805
BRD,BRIDGELAND/RIVERSIDE,6835
BRE,BRENTWOOD,7267
BRI,BRIDLEWOOD,12641
BRT,BRITANNIA,690
BUR,BURNS INDUSTRIAL,0
BVD,BELVEDERE,41
BYV,BAYVIEW,751
CAM,CAMBRIAN HEIGHTS,2036
CAN,CANYON MEADOWS,7624
CAP,CAPITOL HILL,4744
CAR,CARRINGTON,572
CAS,CASTLERIDGE,6127
CED,CEDARBRAE,6094
CGR,COUGAR RIDGE,6997
CHA,CHAPARRAL,12654
CHK,CHINOOK PARK,1662
CHN,CHINATOWN,2471
CHR,CHRISTIE PARK,2128
CHV,COUNTRY HILLS VILLAGE,2597
CHW,CHARLESWOOD,3569
CIA,CALGARY INTERNATIONAL AIRPORT,0
CIT,CITADEL,10077
CLI,CLIFF BUNGALOW,1895
CNS,CORNERSTONE,2648
COA,COACH HILL,3244
COL,COLLINGWOOD,2249
COP,CANADA OLYMPIC PARK,0
COR,CORAL SPRINGS,5801
COU,COUNTRY HILLS,3767
COV,COVENTRY HILLS,17667
CPF,COPPERFIELD,13823
CRA,CRANSTON,19884
CRE,CRESCENT HEIGHTS,6620
CRM,CRESTMONT,1690
CSC,CITYSCAPE,3104
CUR,CURRIE BARRACKS,1262
DAL,DALHOUSIE,8940
DBC,DEERFOOT BUSINESS CENTRE,0
DDG,DOUGLASDALE/GLEN,12881
DIA,DIAMOND COVE,690
DIS,DISCOVERY RIDGE,4280
DNC,DOWNTOWN COMMERCIAL CORE,8683
DNE,DOWNTOWN EAST VILLAGE,3893
DNW,DOWNTOWN WEST END,2785
DOV,DOVER,10351
DRG,DEER RIDGE,3973
DRN,DEER RUN,5065
EAG,EAGLE RIDGE,302
EAU,EAU CLAIRE,2030
EDG,EDGEMONT,15395
EFI,EASTFIELD,0
EFV,EAST FAIRVIEW INDUSTRIAL,0
EPK,ELBOW PARK,3342
ERI,ERIN WOODS,7049
ERL,ERLTON,1270
ESH,EAST SHEPARD INDUSTRIAL,0
EVE,EVERGREEN,21500
EVN,EVANSTON,17685
EYA,ELBOYA,1754
FAI,FAIRVIEW,3646
FAL,FALCONRIDGE,10653
FHI,FOOTHILLS,317
FHT,FOREST HEIGHTS,6496
FLI,FOREST LAWN INDUSTRIAL,123
FLN,FOREST LAWN,7814
FPK,FISH CREEK PARK,0
FRA,FRANKLIN,0
FVI,FAIRVIEW INDUSTRIAL,0
GAG,GARRISON GREEN,2060
GAW,GARRISON WOODS,3116
