COMMUNITY_CODE,COMMUNITY_NAME,TOTAL_POP_HOUSEHOLD
BLN,BELTLINE,25880
PAN,PANORAMA HILLS,25535
SAD,SADDLE RIDGE,24365
CRA,CRANSTON,20850
EVE,EVERGREEN,20780
TUS,TUSCANY,19700
EVN,EVANSTON,18710
AUB,AUBURN BAY,18090
TAR,TARADALE,17630
MCT,MCKENZIE TOWNE,17505
COV,COVENTRY HILLS,17350
EDG,EDGEMONT,15255
MRT,MARTINDALE,14540
CPF,COPPERFIELD,14095
MAH,MAHOGANY,13860
MCK,MCKENZIE LAKE,13290
HUN,HUNTINGTON HILLS,13120
SIG,SIGNAL HILL,13000
DDG,DOUGLASDALE/GLEN,12920
NEB,NEW BRIGHTON,12885
SKR,SKYVIEW RANCH,12870
BRI,BRIDLEWOOD,12545
CHA,CHAPARRAL,12500
VAR,VARSITY,12040
ROY,ROYAL OAK,11580
WSP,WEST SPRINGS,11560
HID,HIDDEN VALLEY,11540
BED,BEDDINGTON HEIGHTS,11295
WHI,WHITEHORN,11085
DOV,DOVER,10795
BOW,BOWNESS,10770
RUN,RUNDLE,10545
TEM,TEMPLE,10525
MOR,MONTEREY PARK,10475
ARB,ARBOUR LAKE,10335
FAL,FALCONRIDGE,10325
CIT,CITADEL,10180
LKB,LAKE BONAVISTA,10145
ACA,ACADIA,9915
,,
,,
PIN,PINERIDGE,9850
SPH,SPRINGBANK HILL,9840
SDC,SUNDANCE,9590
,,
,,
ASP,ASPEN WOODS,9435
SGH,SAGE HILL,9345
RIV,RIVERBEND,9205
HAW,HAWKWOOD,9115
SHN,SHAWNESSY,9055
RSN,REDSTONE,9050
MRL,MARLBOROUGH,8910
NOL,NOLAN HILL,8755
WBN,WOODBINE,8745
THO,THORNCLIFFE,8695
SIL,SILVER SPRINGS,8570
DAL,DALHOUSIE,8530
SOM,SOMERSET,8320
OGD,OGDEN,8315
MPK,MARLBOROUGH PARK,8290
PEN,PENBROOKE MEADOWS,8235
DNC,DOWNTOWN COMMERCIAL CORE,8225
ROC,ROCKY RIDGE,8195
LEG,LEGACY,8000
SVO,SILVERADO,7975
KIL,KILLARNEY/GLENGARRY,7920
SCE,SCENIC ACRES,7850
HAR,HARVEST HILLS,7805
WAL,WALDEN,7650
RAN,RANCHLANDS,7490
CAN,CANYON MEADOWS,7435
BRE,BRENTWOOD,7410
HAM,HAMPTONS,7360
ALT,ALTADORE,7290
GBK,GLENBROOK,7240
FLN,FOREST LAWN,7230
CGR,COUGAR RIDGE,7150
KCA,KINCORA,7030
HAY,HAYSBORO,6960
APP,APPLEWOOD PARK,6830
STR,STRATHCONA PARK,6830
ERI,ERIN WOODS,6790
ALB,ALBERT PARK/RADISSON HEIGHTS,6740
MLR,MILLRISE,6655
WHL,WEST HILLHURST,6635
REN,RENFREW,6580
GLA,GLAMORGAN,6575
SHW,SHERWOOD,6520
